DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND3X0.0;-0.0004;-0.0002;3;0;0.0066;1.6712;0.0001;2.04;0.7129;0.3687
ND3X0.2;-0.0004;0.5391;3;0;0.0063;1.6898;0.0004;2.0409;0.7129;0.3511
ND3X0.4;-0.0004;1.0784;3;0;0.0057;1.7185;0.0004;2.0314;0.709;0.3129
ND3X0.6;-0.0004;1.6178;3;0;0.0049;1.7692;0;2.0348;0.7142;0.2656
ND3X0.8;-0.0004;2.1571;3;0;0.0041;1.8047;0;2.0267;0.7106;0.222
ND3X1.0;-0.0004;2.6964;3;0;0.0032;1.8351;0.0023;2.0205;0.6932;0.1854
ND3X1.2;-0.0004;3.2358;3;0;0.0025;1.8553;0.0047;2.0093;0.6763;0.154
ND3X1.4;-0.0004;3.7751;3;0;0.0019;1.8554;0.0035;1.9771;0.6681;0.1217
ND3X1.6;-0.0004;4.3144;3;0;0.0013;1.8541;0.0016;1.936;0.6671;0.0819
ND3X1.8;-0.0004;4.8538;3;0;0.0007;1.8515;0.0132;1.8962;0.6463;0.0447
ND3X2.0;-0.0004;5.3931;3;0;-0.0001;1.858;0.2419;1.8765;0.4108;0.0185
ND3X2.2;-0.0004;5.9324;3;0;-0.0007;1.8508;0.584;1.8876;0.0629;0.0368
ND3X2.4;-0.0004;6.4718;3;0;-0.0013;1.8323;0.6427;1.8973;0.0021;0.065
ND3X2.6;-0.0004;7.0111;3;0;-0.0017;1.82;0.6447;1.9118;0;0.0918
ND3X2.8;-0.0004;7.5504;3;0;-0.002;1.8147;0.6442;1.9238;0.0006;0.1091
ND3X3.0;-0.0004;8.0898;3;0;-0.0021;1.8197;0.6455;1.935;0;0.1153
ND3X3.2;-0.0004;8.6291;3;0;-0.0021;1.8233;0.6477;1.9388;0.0009;0.1155
ND3X3.4;-0.0004;9.1684;3;0;-0.002;1.8305;0.6497;1.9421;0.0026;0.1116
ND3X3.6;-0.0004;9.7078;3;0;-0.0019;1.8287;0.6514;1.9321;0;0.1035
ND3X3.8;-0.0004;10.2471;3;0;-0.0017;1.8442;0.6567;1.9387;0;0.0945
ND3X4.0;-0.0004;10.7864;3;0;-0.0016;1.8571;0.6607;1.9426;0.0002;0.0854
ND3X4.2;-0.0004;11.3258;3;0;-0.0014;1.8632;0.6629;1.9401;0.0001;0.0769
ND3.5X0.0;-0.0004;-0.0003;3.5;0;0.0052;1.7112;0;2.0037;0.7005;0.2925
ND3.5X0.2;-0.0004;0.5391;3.5;0;0.0051;1.7225;0.0001;2.0058;0.6999;0.2833
ND3.5X0.4;-0.0004;1.0784;3.5;0;0.0047;1.7476;0.0001;2.0064;0.7012;0.2587
ND3.5X0.6;-0.0004;1.6177;3.5;0;0.0041;1.7694;0.0003;1.9994;0.7019;0.23
ND3.5X0.8;-0.0004;2.1571;3.5;0;0.0035;1.8001;0.0002;1.9965;0.702;0.1964
ND3.5X1.0;-0.0004;2.6964;3.5;0;0.0029;1.8276;0.0001;1.9898;0.6987;0.1622
ND3.5X1.2;-0.0004;3.2357;3.5;0;0.0023;1.8458;0;1.9762;0.6925;0.1304
ND3.5X1.4;-0.0004;3.7751;3.5;0;0.0018;1.8536;0.0003;1.9544;0.6845;0.1008
ND3.5X1.6;-0.0004;4.3144;3.5;0;0.0012;1.8567;0.0006;1.9277;0.6763;0.0709
ND3.5X1.8;-0.0004;4.8537;3.5;0;0.0007;1.8618;0.0001;1.9019;0.6688;0.0402
ND3.5X2.0;-0.0004;5.3931;3.5;0;0.0001;1.8705;0.0269;1.8814;0.6348;0.0109
ND3.5X2.2;-0.0004;5.9324;3.5;0;-0.0004;1.8661;0.6454;1.8853;0.0117;0.0191
