DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND3X0.0;-0.0004;-0.0002;3;0;0.0066;6.6;53.232564
ND3X0.2;-0.0004;0.5391;3;0;0.0063;6.3;50.812902
ND3X0.4;-0.0004;1.0784;3;0;0.0057;5.7;45.973578
ND3X0.6;-0.0004;1.6178;3;0;0.0049;4.9;39.521146
ND3X0.8;-0.0004;2.1571;3;0;0.0041;4.1;33.068714
ND3X1.0;-0.0004;2.6964;3;0;0.0032;3.2;25.809728
ND3X1.2;-0.0004;3.2358;3;0;0.0025;2.5;20.16385
ND3X1.4;-0.0004;3.7751;3;0;0.0019;1.9;15.324526
ND3X1.6;-0.0004;4.3144;3;0;0.0013;1.3;10.485202
ND3X1.8;-0.0004;4.8538;3;0;0.0007;0.7;5.645878
ND3X2.0;-0.0004;5.3931;3;0;-0.0001;-0.1;-0.806554
ND3X2.2;-0.0004;5.9324;3;0;-0.0007;-0.7;-5.645878
ND3X2.4;-0.0004;6.4718;3;0;-0.0013;-1.3;-10.485202
ND3X2.6;-0.0004;7.0111;3;0;-0.0017;-1.7;-13.711418
ND3X2.8;-0.0004;7.5504;3;0;-0.002;-2;-16.13108
ND3X3.0;-0.0004;8.0898;3;0;-0.0021;-2.1;-16.937634
ND3X3.2;-0.0004;8.6291;3;0;-0.0021;-2.1;-16.937634
ND3X3.4;-0.0004;9.1684;3;0;-0.002;-2;-16.13108
ND3X3.6;-0.0004;9.7078;3;0;-0.0019;-1.9;-15.324526
ND3X3.8;-0.0004;10.2471;3;0;-0.0017;-1.7;-13.711418
ND3X4.0;-0.0004;10.7864;3;0;-0.0016;-1.6;-12.904864
ND3X4.2;-0.0004;11.3258;3;0;-0.0014;-1.4;-11.291756
ND3.5X0.0;-0.0004;-0.0003;3.5;0;0.0052;5.2;41.940808
ND3.5X0.2;-0.0004;0.5391;3.5;0;0.0051;5.1;41.134254
ND3.5X0.4;-0.0004;1.0784;3.5;0;0.0047;4.7;37.908038
ND3.5X0.6;-0.0004;1.6177;3.5;0;0.0041;4.1;33.068714
ND3.5X0.8;-0.0004;2.1571;3.5;0;0.0035;3.5;28.22939
ND3.5X1.0;-0.0004;2.6964;3.5;0;0.0029;2.9;23.390066
ND3.5X1.2;-0.0004;3.2357;3.5;0;0.0023;2.3;18.550742
ND3.5X1.4;-0.0004;3.7751;3.5;0;0.0018;1.8;14.517972
ND3.5X1.6;-0.0004;4.3144;3.5;0;0.0012;1.2;9.678648
ND3.5X1.8;-0.0004;4.8537;3.5;0;0.0007;0.7;5.645878
ND3.5X2.0;-0.0004;5.3931;3.5;0;0.0001;0.1;0.806554
ND3.5X2.2;-0.0004;5.9324;3.5;0;-0.0004;-0.4;-3.226216
ND3.5X2.4;-0.0004;6.4717;3.5;0;-0.0009;-0.9;-7.258986
ND3.5X2.6;-0.0004;7.0111;3.5;0;-0.0012;-1.2;-9.678648
ND3.5X2.8;-0.0004;7.5504;3.5;0;-0.0015;-1.5;-12.09831
ND3.5X3.0;-0.0004;8.0897;3.5;0;-0.0016;-1.6;-12.904864
ND3.5X3.2;-0.0004;8.6291;3.5;0;-0.0017;-1.7;-13.711418
ND3.5X3.4;-0.0004;9.1684;3.5;0;-0.0016;-1.6;-12.904864
ND3.5X3.6;-0.0004;9.7077;3.5;0;-0.0016;-1.6;-12.904864
ND3.5X3.8;-0.0004;10.2471;3.5;0;-0.0015;-1.5;-12.09831
ND3.5X4.0;-0.0004;10.7864;3.5;0;-0.0014;-1.4;-11.291756
ND3.5X4.2;-0.0004;11.3257;3.5;0;-0.0012;-1.2;-9.678648
ND4.5X0.0;-0.0005;-0.0003;4.5;0;0.0035;3.5;28.22939
ND4.5X0.2;-0.0005;0.539;4.5;0;0.0034;3.4;27.422836
ND4.5X0.4;-0.0005;1.0783;4.5;0;0.0033;3.3;26.616282
ND4.5X0.6;-0.0005;1.6177;4.5;0;0.003;3;24.19662
ND4.5X0.8;-0.0005;2.157;4.5;0;0.0027;2.7;21.776958
ND4.5X1.0;-0.0005;2.6963;4.5;0;0.0023;2.3;18.550742
ND4.5X1.2;-0.0005;3.2357;4.5;0;0.0019;1.9;15.324526
ND4.5X1.4;-0.0005;3.775;4.5;0;0.0015;1.5;12.09831
ND4.5X1.6;-0.0005;4.3143;4.5;0;0.0011;1.1;8.872094
ND4.5X1.8;-0.0005;4.8537;4.5;0;0.0007;0.7;5.645878
ND4.5X2.0;-0.0005;5.393;4.5;0;0.0003;0.3;2.419662
ND4.5X2.2;-0.0005;5.9323;4.5;0;-0.0001;-0.1;-0.806554
ND4.5X2.4;-0.0005;6.4717;4.5;0;-0.0004;-0.4;-3.226216
ND4.5X2.6;-0.0005;7.011;4.5;0;-0.0006;-0.6;-4.839324
ND4.5X2.8;-0.0005;7.5503;4.5;0;-0.0008;-0.8;-6.452432
ND4.5X3.0;-0.0005;8.0897;4.5;0;-0.0009;-0.9;-7.258986
ND4.5X3.2;-0.0005;8.629;4.5;0;-0.001;-1;-8.06554
ND4.5X3.4;-0.0005;9.1683;4.5;0;-0.0011;-1.1;-8.872094
ND4.5X3.6;-0.0005;9.7077;4.5;0;-0.0011;-1.1;-8.872094
ND4.5X3.8;-0.0005;10.247;4.5;0;-0.001;-1;-8.06554
ND4.5X4.0;-0.0005;10.7863;4.5;0;-0.001;-1;-8.06554
ND4.5X4.2;-0.0005;11.3257;4.5;0;-0.0009;-0.9;-7.258986
ND5.5X0.0;-0.0007;-0.0004;5.5;0;0.0025;2.5;20.16385
ND5.5X0.2;-0.0007;0.5389;5.5;0;0.0024;2.4;19.357296
ND5.5X0.4;-0.0007;1.0782;5.5;0;0.0023;2.3;18.550742
ND5.5X0.6;-0.0007;1.6176;5.5;0;0.0022;2.2;17.744188
ND5.5X0.8;-0.0007;2.1569;5.5;0;0.002;2;16.13108
