DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND3X0.0;-0.000358;-0.00023;3;0;0.00659595;1.67124253;5.52E-05;2.03996543;0.71288708;0.36872291
ND3X0.2;-0.000358;0.539103;3;0;0.0063283;1.68978926;0.00040175;2.04087982;0.71291231;0.35109056
ND3X0.4;-0.000358;1.078436;3;0;0.00567872;1.71851751;0.00038694;2.03139388;0.70897605;0.31287637
ND3X0.6;-0.000358;1.61777;3;0;0.00489201;1.7691745;5.45E-06;2.03475303;0.71418954;0.26557853
ND3X0.8;-0.000358;2.157103;3;0;0.00406493;1.80470933;1.19E-06;2.02674809;0.71057694;0.22203876
ND3X1.0;-0.000358;2.696436;3;0;0.00324652;1.83506876;0.00226385;2.02045644;0.69319645;0.18538768
ND3X1.2;-0.000358;3.235769;3;0;0.00253383;1.8552952;0.00465322;2.00929284;0.67632893;0.15399763
ND3X1.4;-0.000358;3.775103;3;0;0.00193638;1.85539982;0.0035368;1.97710042;0.66805446;0.1217006
ND3X1.6;-0.000358;4.314436;3;0;0.00133464;1.85411461;0.00162105;1.93603762;0.66707513;0.08192301
ND3X1.8;-0.000358;4.853769;3;0;0.00065377;1.85147089;0.01322792;1.89616123;0.64630653;0.04469034
ND3X2.0;-0.000358;5.393102;3;0;-5.51E-05;1.85804478;0.24188278;1.87652622;0.41078872;0.01848144
ND3X2.2;-0.000358;5.932436;3;0;-0.00071597;1.85083577;0.58401258;1.88763781;0.06286238;0.03680204
ND3X2.4;-0.000358;6.471768;3;0;-0.00128482;1.83231632;0.64274414;1.89728927;0.00210219;0.06497295
ND3X2.6;-0.000358;7.011102;3;0;-0.00173026;1.81998646;0.64465051;1.91178495;1.02E-06;0.09179848
ND3X2.8;-0.000358;7.550436;3;0;-0.00202042;1.81466584;0.64417784;1.92377179;0.000583;0.10910595
ND3X3.0;-0.000358;8.089768;3;0;-0.00214623;1.81972914;0.645467;1.93503236;2.67E-06;0.11530323
ND3X3.2;-0.000358;8.629102;3;0;-0.00213218;1.82331006;0.64765995;1.9388461;0.00089175;0.11553603
ND3X3.4;-0.000358;9.168435;3;0;-0.00203406;1.83050435;0.64968672;1.94208663;0.00259227;0.11158228
ND3X3.6;-0.000358;9.707768;3;0;-0.00189529;1.82867342;0.65143571;1.93213;2.61E-05;0.10345658
ND3X3.8;-0.000358;10.247101;3;0;-0.00173852;1.84421992;0.6567038;1.93873546;4.27E-05;0.09451554
ND3X4.0;-0.000358;10.786435;3;0;-0.00157659;1.85714608;0.66072933;1.94256268;0.00024139;0.0854166
ND3X4.2;-0.000358;11.325767;3;0;-0.00141777;1.8631942;0.66292254;1.94006944;9.87E-05;0.07687524
ND3.5X0.0;-0.000418;-0.000268;3.5;0;0.00520317;1.71124274;3.71E-05;2.00373564;0.70047121;0.2924929
ND3.5X0.2;-0.000418;0.539065;3.5;0;0.00505613;1.72247555;0.0001232;2.00577717;0.69992926;0.28330162
ND3.5X0.4;-0.000418;1.078398;3.5;0;0.00466964;1.74761186;0.00010589;2.00635936;0.70116694;0.25874751
ND3.5X0.6;-0.000418;1.617731;3.5;0;0.00414375;1.76942578;0.00027053;1.9994398;0.70190814;0.23001402
ND3.5X0.8;-0.000418;2.157065;3.5;0;0.0035485;1.80006979;0.0002174;1.99651354;0.70204411;0.19644375
ND3.5X1.0;-0.000418;2.696398;3.5;0;0.00293369;1.82764752;0.0001369;1.98983861;0.69869176;0.16219109
ND3.5X1.2;-0.000418;3.235731;3.5;0;0.00234283;1.84579232;1.42E-06;1.9762132;0.69246926;0.13042088
ND3.5X1.4;-0.000418;3.775064;3.5;0;0.00178523;1.85361126;0.00032108;1.95444348;0.68451496;0.10083222
ND3.5X1.6;-0.000418;4.314397;3.5;0;0.00122946;1.85673413;0.00055294;1.92767571;0.67628083;0.07094159
ND3.5X1.8;-0.000418;4.853731;3.5;0;0.00065747;1.86175289;0.00010778;1.90191844;0.66882891;0.04016555
ND3.5X2.0;-0.000418;5.393064;3.5;0;9.11E-05;1.87048564;0.02690894;1.8814281;0.63482273;0.01094246
ND3.5X2.2;-0.000418;5.932397;3.5;0;-0.00043229;1.86613869;0.64544671;1.88525021;0.01170176;0.01911152
ND3.5X2.4;-0.000418;6.47173;3.5;0;-0.00088354;1.85294765;0.6493908;1.89721043;0.00447823;0.04426278
ND3.5X2.6;-0.000418;7.011064;3.5;0;-0.00124239;1.84209771;0.64950945;1.90688414;0.00229582;0.06478643
ND3.5X2.8;-0.000418;7.550397;3.5;0;-0.00149348;1.83550798;0.6500297;1.91477624;0.00072122;0.07926825
ND3.5X3.0;-0.000417;8.08973;3.5;0;-0.00163281;1.83379747;0.65121533;1.92128146;2.98E-06;0.08748399
ND3.5X3.2;-0.000418;8.629064;3.5;0;-0.00167346;1.83389447;0.64883989;1.92518269;0.00351042;0.09128822
ND3.5X3.4;-0.000418;9.168397;3.5;0;-0.00164445;1.84047857;0.65219957;1.93088008;0.00352107;0.09040151
ND3.5X3.6;-0.000417;9.70773;3.5;0;-0.00157056;1.8483011;0.65611145;1.93445275;0.00257075;0.08615165
ND3.5X3.8;-0.000418;10.247063;3.5;0;-0.00147114;1.85553721;0.65985816;1.93576578;0.00119518;0.08022857
ND3.5X4.0;-0.000418;10.786397;3.5;0;-0.00135879;1.86154977;0.66277861;1.93540954;0.00021944;0.07385978
ND3.5X4.2;-0.000417;11.325729;3.5;0;-0.00124234;1.86641277;0.66461299;1.93393871;1.30E-05;0.06752594
ND4.5X0.0;-0.000537;-0.000345;4.5;0;0.00349017;1.77566633;4.72E-05;1.96756485;0.69829157;0.19189852
ND4.5X0.2;-0.000537;0.538989;4.5;0;0.00342867;1.77937932;2.14E-05;1.96812416;0.69785689;0.18874484
ND4.5X0.4;-0.000537;1.078321;4.5;0;0.00325316;1.79027031;4.37E-06;1.96919253;0.69789092;0.17892222
ND4.5X0.6;-0.000537;1.617655;4.5;0;0.00298611;1.80538241;1.67E-05;1.9694064;0.69780702;0.16402399
ND4.5X0.8;-0.000537;2.156988;4.5;0;0.00265331;1.8218438;9.78E-05;1.96748508;0.69701004;0.14564128
ND4.5X1.0;-0.000536;2.696321;4.5;0;0.00227894;1.83708037;0.00036425;1.96218941;0.69473221;0.12510905
ND4.5X1.2;-0.000537;3.235654;4.5;0;0.00188248;1.84942989;0.00111333;1.95304117;0.69058871;0.10361127
ND4.5X1.4;-0.000537;3.774988;4.5;0;0.00147692;1.85860333;0.00260094;1.94034728;0.68463777;0.08174395
ND4.5X1.6;-0.000537;4.31432;4.5;0;0.00107012;1.86553999;0.00664179;1.92579415;0.67552759;0.06025416
ND4.5X1.8;-0.000537;4.853654;4.5;0;0.00067013;1.87135749;0.01765381;1.910893;0.65930535;0.03953551
ND4.5X2.0;-0.000537;5.392987;4.5;0;0.00028848;1.87655072;0.06477821;1.89743696;0.60728641;0.02088624
ND4.5X2.2;-0.000537;5.932321;4.5;0;-6.13E-05;1.87806474;0.39434195;1.88961984;0.27350307;0.01155509
ND4.5X2.4;-0.000537;6.471653;4.5;0;-0.00036687;1.87112568;0.62381433;1.89247285;0.04069854;0.02134717
ND4.5X2.6;-0.000537;7.010987;4.5;0;-0.00061911;1.86400962;0.64929016;1.89788168;0.01288599;0.03387206
ND4.5X2.8;-0.000537;7.550321;4.5;0;-0.0008128;1.85929429;0.6540672;1.90348336;0.0068437;0.04418907
ND4.5X3.0;-0.000537;8.089653;4.5;0;-0.00094751;1.85730541;0.65586155;1.9089387;0.00485594;0.05163329
ND4.5X3.2;-0.000537;8.628987;4.5;0;-0.00102781;1.8577529;0.65755012;1.91395431;0.00384746;0.0562014
ND4.5X3.4;-0.000537;9.16832;4.5;0;-0.00106221;1.85998112;0.65961969;1.91815224;0.00295751;0.05817113
ND4.5X3.6;-0.000537;9.707653;4.5;0;-0.00106089;1.8631841;0.66190692;1.92122716;0.00199197;0.05804306
ND4.5X3.8;-0.000537;10.246986;4.5;0;-0.00103364;1.86665373;0.66408393;1.92308642;0.00107568;0.05643269
ND4.5X4.0;-0.000537;10.78632;4.5;0;-0.00098882;1.86995905;0.66588795;1.92385129;0.00040688;0.05389224
ND4.5X4.2;-0.000537;11.325652;4.5;0;-0.00093316;1.87294144;0.6672386;1.92375946;6.86E-05;0.05081802
ND5.5X0.0;-0.000656;-0.000422;5.5;0;0.00247266;1.81897648;1.63E-05;1.95431612;0.69525896;0.13533964
ND5.5X0.2;-0.000656;0.538912;5.5;0;0.00243915;1.82043819;2.30E-07;1.95408652;0.69487389;0.13364833
ND5.5X0.4;-0.000656;1.078244;5.5;0;0.00234071;1.82526448;1.81E-05;1.95353562;0.69440698;0.12827115
ND5.5X0.6;-0.000656;1.617578;5.5;0;0.00218485;1.83256131;0.00010817;1.9522482;0.69367576;0.11968689
ND5.5X0.8;-0.000657;2.156911;5.5;0;0.00198199;1.84117955;0.00034717;1.94972187;0.69240556;0.10854232
ND5.5X1.0;-0.000656;2.696244;5.5;0;0.00174366;1.8500192;0.00087358;1.94555643;0.69029435;0.09553723
ND5.5X1.2;-0.000656;3.235577;5.5;0;0.00148112;1.85824009;0.00191946;1.9395879;0.68704684;0.08134782
ND5.5X1.4;-0.000656;3.774911;5.5;0;0.00120465;1.86540701;0.0038841;1.93197488;0.68232448;0.06656787
ND5.5X1.6;-0.000656;4.314244;5.5;0;0.0009235;1.87148755;0.00759757;1.9231892;0.67546409;0.05170165
ND5.5X1.8;-0.000656;4.853577;5.5;0;0.00064631;1.87668611;0.01538472;1.91391775;0.66437166;0.03723163
